key_G#,track_name,artist_count_2,key_A,artist_count_6,artist_count_3,valence_%,in_apple_charts,cover_url,key_G,released_month,release_3,release_2,release_1,streams,artist_count_7,key_A#,mode_Major,key_C#,in_apple_playlists,in_spotify_playlists,key_B,party_val,mode_Minor,in_shazam_charts,released_day,danceability_%,artist_count_4,released_year,artist_count_1,artist_count_8,instrumentalness_%,acousticness_%,key_not provided,season_3,bpm,key_F#,artist(s)_name,speechiness_%,energy_%,in_spotify_charts,in_deezer_playlists,liveness_%,key_E,concert_val,in_deezer_charts,key_D#,key_F,artist_count_5,season_2,season_1,key_D
1.0,Malas Decisiones,0.0,0.0,0.0,0.0,64,-0.9726046761532495,https://i.scdn.co/image/ab67616d0000b2739afe5698b0a9559dabc44ac8,0.0,10,0,0,1,-0.6378463354541711,0.0,0.0,0.0,0.0,-0.5080165658747248,-0.5818318550520282,0.0,1.187298241163036,1.0,-0.3819607383508474,26,81,0.0,2022,1.0,0.0,0,5,0.0,1,-0.4142361548111614,0.0,Kenia OS,3,79,-0.5084589091632272,-0.31741562577628274,31,0.0,-0.5266972528596598,-0.4285213251221422,0.0,0.0,0.0,0,0,0.0
0.0,Softcore,0.0,0.0,0.0,0.0,36,0.9926118061869262,https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40,0.0,3,0,1,0,0.14759211071782313,0.0,0.0,1.0,0.0,-0.3928633710194349,-0.1736018637547424,0.0,-0.7048372043842972,0.0,-0.1825837290976911,9,57,0.0,2018,1.0,0.0,0,5,0.0,0,-0.9777314909105551,0.0,The Neighbourhood,3,58,-0.019586986712318864,-0.2575669869266459,15,0.0,-1.0589110900332082,-0.4285213251221422,0.0,0.0,0.0,0,1,1.0
0.0,Lï¿½ï¿½ï¿,0.0,0.0,0.0,0.0,58,1.3856551026549613,Not Found,0.0,1,0,0,1,-0.7217911589420246,0.0,0.0,0.0,0.0,-0.300740815135203,-0.4028340938165369,0.0,-0.8797221706379496,1.0,-0.3686689377339703,9,56,0.0,2022,1.0,0.0,0,35,0.0,0,-1.1890422419478277,0.0,Stromae,11,55,-0.6062332936534088,-0.007366427291358579,23,0.0,0.4712036918407434,-0.4285213251221422,0.0,0.0,0.0,0,1,1.0
0.0,Set Fire to the Rain,0.0,0.0,0.0,0.0,47,1.1891334544209438,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,0.0,1,1,0,0,1.1460462955432071,0.0,0.0,0.0,0.0,0.24047920068465953,1.1202654096902818,0.0,-0.10297755014008217,1.0,3.067261521728756,1,61,0.0,2011,1.0,0.0,0,0,0.0,0,-0.4846730718235856,0.0,Adele,3,68,1.495915972885497,1.4630813800004132,13,0.0,-1.2917546437966356,0.35282444433709315,0.0,0.0,0.0,0,1,1.0
0.0,Unholy (feat. Kim Petras),1.0,0.0,0.0,0.0,24,1.1105247951273367,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,0.0,9,0,0,1,1.2647861786955055,0.0,0.0,1.0,0.0,1.7144400948323701,0.3813751200088804,0.0,-0.5261411727774893,0.0,0.6415079091486882,22,71,0.0,2022,0.0,0.0,0,1,0.0,1,0.3253514738192929,0.0,"Sam Smith, Kim Petras",9,47,1.447028780640406,-0.05973398628479081,27,0.0,-0.5932239825063533,3.6344766760658813,0.0,0.0,0.0,0,0,1.0
1.0,OUT OUT (feat. Charli XCX & Saweetie),0.0,0.0,0.0,0.0,79,-0.7957351927426337,https://i.scdn.co/image/ab67616d0000b2730abb7463b44d1be6243642f4,0.0,8,0,1,0,-0.15748500835385845,0.0,0.0,0.0,0.0,0.6320000631926452,0.17923833136652392,0.0,1.3323560247981183,1.0,-0.37531483804240884,13,79,1.0,2021,0.0,0.0,0,2,0.0,0,0.07882226427580816,0.0,"Charli XCX, Jax Jones, Joel Corry, Saweetie",5,84,-0.6062332936534088,-0.16779402865219067,5,0.0,-1.4248081030900226,-0.4285213251221422,0.0,0.0,0.0,1,0,0.0
0.0,Baile no Morro,0.0,0.0,0.0,1.0,78,-1.011909005800053,https://i.scdn.co/image/ab67616d0000b27352cf91ed2a3ed757c6faaa8a,0.0,6,0,0,1,-0.6854802564239608,0.0,0.0,0.0,0.0,-0.5771084827878987,-0.5646873943308792,0.0,-0.8182958047765377,1.0,-0.1825837290976911,10,71,0.0,2022,0.0,0.0,0,46,0.0,0,0.29013301531308083,0.0,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",45,40,-0.5084589091632272,-0.31492193249088124,7,0.0,1.4358412717177995,-0.4285213251221422,1.0,0.0,0.0,1,0,0.0
0.0,Novidade na ï¿½ï¿,1.0,0.0,0.0,0.0,36,-0.8939960168596425,Not Found,0.0,6,0,0,1,-0.8441519330175197,0.0,0.0,1.0,0.0,-0.6692310386721306,-0.6148019718234682,0.0,-1.3996800037336155,0.0,0.09654408385672768,23,63,0.0,2023,0.0,0.0,0,76,0.0,0,0.29013301531308083,0.0,"Mc Livinho, DJ Matt D",9,34,-0.16624856344759137,-0.3140907013957474,35,0.0,2.167635297831429,-0.11598301733844807,0.0,1.0,0.0,1,0,0.0
0.0,Zona De Perigo,0.0,0.0,0.0,0.0,97,-0.9922568409766512,https://i.scdn.co/image/ab67616d0000b2737fc5a85369c7df7f5f63efa3,0.0,12,0,0,1,-0.6766621525633295,0.0,0.0,1.0,0.0,-0.5425625243313118,-0.5831506597228857,0.0,1.1408066686104852,0.0,-0.3819607383508474,8,81,0.0,2022,1.0,0.0,0,75,0.0,1,0.46622530784414135,0.0,Leo Santana,3,77,-0.4106845246730455,-0.27585407101959053,35,0.0,1.9347917440680011,-0.11598301733844807,0.0,1.0,0.0,0,0,0.0
0.0,The Scientist,0.0,0.0,0.0,0.0,21,-0.5206048852150091,https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82,0.0,8,1,0,0,1.9332344689611165,0.0,0.0,1.0,0.0,0.6550307021637032,3.068859256549249,0.0,-1.2516971550575131,0.0,-0.3819607383508474,5,56,0.0,2002,1.0,0.0,0,73,0.0,0,0.8536283514124746,0.0,Coldplay,2,44,-0.31291014018286384,6.171174302838511,11,0.0,1.0366808938376386,-0.2722521712302951,0.0,1.0,0.0,1,0,0.0
